Sorterings ID	Data type	Navn DE/ENG	Navn DK	UUID	Global Opvarmning, modul A1-A3	Global Opvarmning, modul C3	Global Opvarmning, modul C4	Global Opvarmning, modul D	Deklareret faktor (FU)	Deklareret enhed (FU)	Masse faktor	Masse enhed	Url (link)	Kommentar	RVT2024
#G0327	Generisk data	Eva-dachbahnen	EVA-tagmembran	a89b8115-43fa-5b8d-96d0-08b15db92e2b	5,38635664	7,965012452	0	-2,768405486	1	M2	2	kg/m²	https://www.oekobaudat.de/OEKOBAU.DAT/resource/processes/60203e0a-cd90-4ff9-8ec7-da3a1b0b1588?version=20.23.050		
#B1425	Branche data	-	Fabriksbeton (C20/25 SCC) i eksponeringsklasserne X0 og XC1	d1a78805-f2b1-4131-8f1d-08845be37654	215	6,94	5,13	-4,74	1	M3	2212	kg/m³	https://www.epddanmark.dk/media/qoelm3vd/md-20011-da_rev1-dansk-beton-fabriksbetonforeningen.pdf		
#B1433	Branche data	-	Fabriksbeton (C25/30) i eksponeringsklasserne X0 og XC1	2a58dc5d-42ce-46ed-98de-53b201d29da0	241	6,73	4,97	-4,6	1	M3	2246	kg/m³	https://www.epddanmark.dk/media/qoelm3vd/md-20011-da_rev1-dansk-beton-fabriksbetonforeningen.pdf		
#B1477	Branche data	-	Fabriksbeton C30/37	b4d08927-4070-45cc-ace0-e970c004b51d	282	6,72	4,97	-4,6	1	M3	2255	kg/m³	https://www.epddanmark.dk/media/c3alzank/md-20012-da_rev1-dansk-beton-fabriksbetonforeningen.pdf		
#B1441	Branche data	-	Fabriksbeton C35/45 – CEM I	c8a63193-f3f7-49df-bfa4-2ba1d764dd9d	362	7,07	5,23	-4,84	1	M3	2267	kg/m³	https://www.epddanmark.dk/media/nvwgry4v/md-20013-da_rev1-dansk-beton-fabriksbetonforeningen.pdf		
#B1437	Branche data	-	Fabriksbeton C35/45 – CEM I SR-5	5fb54248-9f47-4823-866c-7eabfb1bb99d	403	6,85	5,06	-4,68	1	M3	2304	kg/m³	https://www.epddanmark.dk/media/nvwgry4v/md-20013-da_rev1-dansk-beton-fabriksbetonforeningen.pdf		
#B1445	Branche data	-	Fabriksbeton C35/45 (fugebeton)	42cdcbd9-921b-400c-a325-093a185c75a9	377	6,63	4,9	-4,54	1	M3	2256	kg/m³	https://www.epddanmark.dk/media/nvwgry4v/md-20013-da_rev1-dansk-beton-fabriksbetonforeningen.pdf		
#B1485	Branche data	-	Fabriksbeton C35/45 SCC	b5ebab16-5af1-4558-b0c5-0d8594a6a2f2	300	6,54	4,83	-4,47	1	M3	2254	kg/m³	https://www.epddanmark.dk/media/c3alzank/md-20012-da_rev1-dansk-beton-fabriksbetonforeningen.pdf		
#B1461	Branche data	-	Fabriksbeton C40/50 – CEM I	9d1a1b13-0b03-44ce-80e2-9833c95245e9	429	6,77	5	-4,63	1	M3	2267	kg/m³	https://www.epddanmark.dk/media/oz1jfz20/md-20014-da_rev1-dansk-beton-fabriksbetonforeningen.pdf		
#B1453	Branche data	-	Fabriksbeton C40/50 – CEM I SR-5	38a75cce-cac1-4231-a364-1fa0dfe4274a	465	6,95	5,14	-4,76	1	M3	2284	kg/m³	https://www.epddanmark.dk/media/oz1jfz20/md-20014-da_rev1-dansk-beton-fabriksbetonforeningen.pdf		
